0.000000000000000000e+00 0.000000000000000000e+00 -1.004224222891959784e+00 -9.217318061235589610e+00 1.577818348990273734e+01
5.000000000000000000e+00 5.000000000000000000e+00 5.557881599846750120e+00 -5.645235335722996517e+00 2.038316015799708936e+01
1.000000000000000000e+01 1.000000000000000000e+01 1.008984868329796036e+01 1.466825869480164357e+00 2.662324723644831792e+01
1.500000000000000000e+01 1.500000000000000000e+01 1.720064352592207513e+01 7.927733928991705703e+00 3.024332313857048860e+01
2.000000000000000000e+01 2.000000000000000000e+01 1.703406610334035065e+01 1.442643776052922533e+01 3.585538570618855658e+01
2.500000000000000000e+01 2.500000000000000000e+01 2.315877277478773522e+01 2.288281814067984143e+01 3.720185202246198486e+01
3.000000000000000000e+01 3.000000000000000000e+01 3.004735793061282223e+01 2.626262119716272991e+01 4.148150161846795214e+01
3.500000000000000000e+01 3.500000000000000000e+01 3.384560562223551727e+01 3.140971656785696098e+01 4.433064165468319118e+01
4.000000000000000000e+01 4.000000000000000000e+01 3.937037742791174111e+01 3.839263361238626970e+01 4.788362416656612908e+01
4.500000000000000000e+01 4.500000000000000000e+01 4.519654893964001730e+01 4.257301698041563753e+01 4.906237476963504918e+01
5.000000000000000000e+01 5.000000000000000000e+01 4.887644144544913871e+01 5.065169787481909935e+01 4.989912649770872122e+01
5.500000000000000000e+01 5.500000000000000000e+01 5.284873659940999602e+01 5.556273536589856121e+01 5.184501441229578944e+01
6.000000000000000000e+01 6.000000000000000000e+01 6.147624143805621344e+01 6.180093853342798127e+01 5.201294146678866781e+01
6.500000000000000000e+01 6.500000000000000000e+01 6.560615936731907993e+01 6.890144610554342819e+01 5.002713967916488258e+01
7.000000000000000000e+01 7.000000000000000000e+01 6.940869565721730794e+01 7.248990007192576002e+01 5.050602721399397410e+01
